title,mal_id,type,chapters,volumes,status,genres,score,rank,author,serializations
Wondance,127120,Manga,,,Publishing,"['Romance', 'Sports']",7.9,883.0,['Coffee'],Afternoon
Yakuza no Oooyabun ga Youjo ni Umarekawatta Hanashi,121857,Manga,,,Publishing,['Comedy'],6.73,10807.0,['Ameno'],Gangan pixiv
Yakyuu de Sensou suru Isekai de Chou Koukou-kyuu Ace ga Jakushou Kokka wo Sukuu you desu.,132636,Manga,,,Publishing,"['Fantasy', 'Sports']",6.79,10134.0,"['Misora, Riku', 'Nishida, Takuya']",Suiyoubi no Sirius
Yankee wa Isekai de Seirei ni Aisaremasu.,105366,Manga,42.0,5.0,Finished,"['Action', 'Comedy', 'Fantasy']",6.58,12377.0,"['Sasaki, Akane', 'Kuroi, Heiho']",AlphaPolis Web Manga
Yankee-kun to Hakujou Girl,118712,Manga,,,Publishing,"['Comedy', 'Romance']",7.62,1883.0,"['Kodama, Jun']",Niconico Seiga
Yoru ni Naru to Boku wa,114551,Manga,34.0,4.0,Finished,"['Action', 'Drama', 'Supernatural']",7.06,6892.0,"['Masuko, Yuu', 'Ninomae, Kakeru']",Shounen Magazine (Weekly)
Yozakura-san Chi no Daisakusen,121426,Manga,,,Publishing,"['Action', 'Comedy', 'Romance']",7.61,1938.0,"['Gondaira, Hitsuji']",Shounen Jump (Weekly)
Yuusha ga Shinda!: Murabito no Ore ga Hotta Otoshiana ni Yuusha ga Ochita Kekka.,85941,Manga,202.0,20.0,Finished,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Ecchi']",7.48,2659.0,['Subaruichi'],MangaONE
Akarui Kioku Soushitsu,103162,Manga,67.0,6.0,Finished,"['Comedy', 'Girls Love']",7.53,2343.0,"['Oku, Tamamushi']",Comic Cune
Ansatsu Kyoushitsu,39883,Manga,187.0,21.0,Finished,"['Action', 'Comedy']",8.28,302.0,"['Matsui, Yuusei']",Shounen Jump (Weekly)
Barakamon,17051,Manga,135.0,18.0,Finished,"['Comedy', 'Slice of Life']",8.44,155.0,"['Yoshino, Satsuki']",Gangan Online
Bleach: Gokui Meimei-hen,139152,One-shot,1.0,,Finished,"['Action', 'Supernatural']",7.86,1003.0,"['Kubo, Tite']",Shounen Jump (Weekly)
