title,mal_id,type,chapters,volumes,status,genres,score,rank,author,serializations
Onihime VS,9730,Manga,27,4,Finished,"['Action', 'Comedy', 'Romance', 'Supernatural', 'Ecchi']",7.04,7150,"['Im, Dal Young', 'Lee, Soo Hyun']",Comic Valkyrie
Orenchi no Maid-san,101234,Manga,74,7,Finished,"['Comedy', 'Romance', 'Slice of Life']",7.37,3474,"['Oohara, Roron']",Comic Cune
Rakujitsu no Pathos,92476,Manga,,,Publishing,"['Romance', 'Ecchi']",6.51,12949,['Tsuyatsuya'],Bessatsu Young Champion
Real no Heroine wa Irimasen!,105454,Manga,,,Publishing,"['Comedy', 'Romance']",6.54,12741,"['Tao, Noritake', 'Mikumo, George']",Young Gangan
Aki-Sora,12629,Manga,30,6,Finished,"['Romance', 'Erotica']",6.51,,"['Itosugi, Masahiro']",Champion RED Ichigo
Boku to Kanojo no Koi Log,30177,Manga,19,3,Finished,"['Comedy', 'Romance', 'Ecchi']",6.56,12497,"['SCA-DI', 'Sakura']",Dragon Age
Kyou no Cerberus,57185,Manga,58,12,Finished,"['Comedy', 'Romance', 'Supernatural']",7.53,2398,"['Sakurai, Ato']",Shounen Gangan
Nana to Kaoru: Black Label,21151,Manga,45,5,Finished,"['Drama', 'Romance', 'Erotica']",7.93,,"['Amazume, Ryuta']",Young Animal Arashi
Okusama ga Seitokaichou!,49967,Manga,70,13,Finished,"['Comedy', 'Romance', 'Ecchi']",7.07,6706,"['Nakata, Yumi']",Comic REX
Open Sesame,730,Manga,94,20,Finished,"['Comedy', 'Romance']",7.35,3701,"['Kawakata, Kaoru']",Magazine Special
"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Rachirareta Ken",46368,Manga,83,15,Finished,"['Comedy', 'Romance', 'Ecchi']",7.17,5460,"['Nanatsuki, Takafumi', 'Risumai']",Comic REX
Re:Marina,58711,Manga,49,6,Finished,"['Comedy', 'Romance', 'Ecchi']",7.21,5049,"['Harada, Shigemitsu', 'Seguchi, Takahiro']",Young Animal
Siscon Ani to Brocon Imouto ga Shoujiki ni Nattara,112000,Manga,48,4,Finished,"['Comedy', 'Romance']",6.86,9224,"['Hano, Haruka']",Cycomics
